"","studyID","Case.study","zcor.ECD.LD","var.zcor.ECD.LD","n.replicate.LD","LD.metric","LD.unit","study_type","experiment_type","system","ecosystem","country","exp_duration","litter.species","litter.type","meshsize..mm.","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","ES_origin","k_rate_imputation_M1","zcor.ECD.LDd","var.zcor.ECD.LDd","n.replicate.LDd"
"35",326,326.1,0.57341165647538,0.00421940928270042,240,"rate (k)","d-1","observational","field","aquatic","stream","USA, Alaska",56,"Calamagrostis canadensis","grass",NA,"nutrient enrichment","SRP","yes","resource",0.477320545208592,-0.549635754553082,1.02695629976167,"Correlation","SD not imputed",NA,NA,NA
"36",374,374.1,-0.189154308816527,0.0222222222222222,48,"rate (k)","d-1","observational","field","aquatic","stream","USA",35,"Red maple","broad leaves","10","metals","Zn","yes","stressors",5.80618929421006,0.670415774876332,5.13577351933373,"Correlation","SD not imputed",NA,NA,NA
"37",4,4.1,0.117389694886601,0.0476190476190476,24,"rate (k)","d-1","experimental","mesocosm","aquatic","lagoon","Portugal",84,"Alnus glutinosa","broad leaves","5","pesticides","fungicide: pyrimethanil","no",NA,2.85597033117883,-5.1892834455239,8.04525377670273,"Hedge's d","SD not imputed",NA,NA,NA
"38",52,52.1,-3.07161387457385,0.333333333333333,6,"dry mass remaining","%","observational","field","aquatic","stream","USA",102,"Red maple","broad leaves","10","metals","As","no",NA,3.73686343259714,-0.463868640678219,4.20073207327536,"Hedge's d","SD imputed",NA,NA,NA
"39",52,52.1,-2.44514019122284,0.333333333333333,6,"dry mass remaining","%","observational","field","aquatic","stream","USA",144,"White oak","broad leaves","10","metals","As","no",NA,3.73686343259714,-0.463868640678219,4.20073207327536,"Hedge's d","SD imputed",NA,NA,NA
"40",70,70.1,-0.486433181297483,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Zn","yes","stressors, resources",1.72597172869005,0.650831796207084,1.07513993248297,"Hedge's d","SD not imputed",NA,NA,NA
"41",70,70.1,-0.722382206069831,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Zn","yes","stressors, resources",2.3625485577616,0.650831796207084,1.71171676155452,"Hedge's d","SD not imputed",NA,NA,NA
"42",70,70.1,-0.537676829708585,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Cu","yes","stressors, resources",0.503748453391906,-1.70870513527627,2.21245358866818,"Hedge's d","SD not imputed",NA,NA,NA
"43",70,70.1,-0.975965246658343,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Cu","yes","stressors, resources",1.56571247490428,-1.70870513527627,3.27441761018055,"Hedge's d","SD not imputed",NA,NA,NA
"44",70,70.1,0.145490957005228,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Ni","yes","stressors, resources",-0.163897018110399,-0.942552300384931,0.778655282274532,"Hedge's d","SD not imputed",NA,NA,NA
"45",70,70.1,-0.0969889800732602,0.0769230769230769,16,"mass loss","g","experimental","field","terrestrial","agricultural field","UK",365,"ryegrass","grass","10","metals","Ni","yes","stressors, resources",0.234979582833671,-0.942552300384931,1.1775318832186,"Hedge's d","SD not imputed",NA,NA,NA
"46",95,95.1,-0.986326263544126,0.333333333333333,6,"mass loss","%","experimental","microcosm","aquatic","stream","Portugal",30,"Alnus glutinosa","leaf discs","fine","metals","Cu","no",NA,5.69383214380303,-5.1892834455239,10.8831155893269,"Hedge's d","SD not imputed",NA,NA,NA
"47",95,95.1,-1.34140948094322,0.333333333333333,6,"mass loss","%","experimental","microcosm","aquatic","stream","Portugal",30,"Alnus glutinosa","leaf discs","fine","metals","Zn","no",NA,4.98107649185471,-5.1892834455239,10.1703599373786,"Hedge's d","SD not imputed",NA,NA,NA
"48",176,176.1,-0.166179623375346,0.0666666666666667,18,"mass loss","%","experimental","field","terrestrial",NA,"Thailand",60,"Ipomoea aquatica","broad leaves",NA,"pesticides","herbicide: atrazine","no",NA,0,-5.1892834455239,5.1892834455239,"Hedge's d","SD not imputed",NA,NA,NA
"49",176,176.1,-0.244170587830533,0.0666666666666667,18,"mass loss","%","experimental","field","terrestrial",NA,"Thailand",60,"Ipomoea aquatica","broad leaves",NA,"pesticides","insecticide: carbofuran","no",NA,0,-5.1892834455239,5.1892834455239,"Hedge's d","SD not imputed",NA,NA,NA
"50",176,176.1,-0.69475033804174,0.0666666666666667,18,"mass loss","%","experimental","field","terrestrial",NA,"Thailand",60,"Ipomoea aquatica","broad leaves",NA,"pesticides","insecticide: chlorpyrifos","no",NA,0,-5.1892834455239,5.1892834455239,"Hedge's d","SD not imputed",NA,NA,NA
"51",344,344.1,-0.150881796058134,0.00529100529100529,192,"rate (k)","d-1","experimental","mesocosm","aquatic","pond","Germany",68,"Alnus glutinosa","broad leaves shredded","0.2","pesticides","pesticide mixture","yes","stressors",0,-5.1892834455239,5.1892834455239,"Hedge's d","SD not imputed",NA,NA,NA
"52",349,349.1,-1.1258817108438,0.027027027027027,40,"rate (k)","d-1","observational","field","aquatic","stream","UK",9,"Alnus glutinosa","broad leaves","10","pesticides","insecticide: chlorpyrifos","no",NA,-0.244453337900961,-5.1892834455239,4.94483010762294,"Hedge's d","SD not imputed",NA,NA,NA
"53",252,252.1,-0.362000594089888,0.333333333333333,6,"mass loss","%","experimental","microcosms","aquatic","stream","Portugal",24,"Alnus glutinosa","leaf discs","0.5","PAH","phenanthrene","no",NA,1.35867919408692,-5.1892834455239,6.54796263961082,"Hedge's d","SD imputed",NA,NA,NA
"54",29,29.1,0.0300998702259838,0.0222222222222222,48,"rate (k)","d-1","observational","field","aquatic","stream","USA",183,"Maple","broad leaves",NA,"acid mine drainage","Al","yes","stressors",0.544727175441672,-0.371563556432483,0.916290731874155,"Hedge's d","SD not imputed",NA,NA,NA
"55",29,29.1,-0.658920732008853,0.0222222222222222,48,"rate (k)","d-1","observational","field","aquatic","stream","USA",183,"Maple","broad leaves",NA,"acid mine drainage","Al","yes","stressors",4.75636082418687,-0.371563556432483,5.12792438061935,"Hedge's d","SD not imputed",NA,NA,NA
"56",29,29.2,-0.0742842174621791,0.0222222222222222,48,"rate (k)","d-1","observational","field","aquatic","stream","USA",183,"Maple","broad leaves",NA,"acid mine drainage","Al","yes","stressors",3.14988295338125,1.47426313406585,1.6756198193154,"Hedge's d","SD not imputed",NA,NA,NA
"57",29,29.2,0.586475299818527,0.0222222222222222,48,"rate (k)","d-1","observational","field","aquatic","stream","USA",183,"Maple","broad leaves",NA,"acid mine drainage","Al","yes","stressors",4.06715842191794,1.47426313406585,2.59289528785209,"Hedge's d","SD not imputed",NA,NA,NA
